# European Portuguese lexical correction table — word<TAB>code (ɛ|ɔ = stressed mid vowel opens;
# x:s|x:z|x:ks = grapheme x). Engine handles everything else. Derived from wikipron EP (por_latn_po).
abandona	ɔ
abandonam	ɔ
abandonas	ɔ
abandonem	ɔ
abaneadela	ɛ
abaxial	x:ks
abcesso	ɛ
abel	ɛ
aberta	ɛ
abertas	ɛ
aberto	ɛ
abertos	ɛ
abeto	ɛ
abjeto	ɛ
abnega	ɛ
abnego	ɛ
abona	ɔ
aborda	ɔ
abordo	ɔ
acelera	ɛ
aceleram	ɛ
aceleras	ɛ
acelero	ɛ
acelga	ɛ
acena	ɛ
acerbo	ɛ
acessa	ɛ
acesso	ɛ
aciona	ɔ
aciono	ɔ
acontecem	ɛ
acontecer	ɛ
acorda	ɔ
acordam	ɔ
actinomorfa	ɔ
actinomorfo	ɔ
actinostelo	ɛ
adalberto	ɛ
adaxial	x:ks
adega	ɛ
adelo	ɛ
adenocarcinoma	ɔ
adenofibroma	ɔ
adenolipoma	ɔ
adenossarcoma	ɔ
adepto	ɛ
adiciona	ɔ
adicionam	ɔ
adicionas	ɔ
adicionem	ɔ
adiciono	ɔ
adoras	ɔ
adoro	ɔ
aduela	ɛ
adverso	ɛ
aedo	ɛ
aerogel	ɛ
aeromodelo	ɛ
aeromoça	ɔ
aeromoço	ɔ
aeroporto	ɔ
aeroportos	ɔ
aerossol	ɔ
afeto	ɛ
afixal	x:ks
afixar	x:ks
afixo	x:ks
afluxo	x:ks
afora	ɔ
after	ɛ
agiota	ɔ
agora	ɔ
agrego	ɛ
aguarela	ɛ
aiola	ɔ
airela	ɛ
aiuruoca	ɔ
albacora	ɔ
albatroz	ɔ
alberta	ɛ
alberto	ɛ
albornoz	ɔ
alcacel	ɛ
alcagoita	ɔ
aldeola	ɔ
aldeota	ɔ
alecto	ɛ
alego	ɛ
alegreto	ɛ
alegro	ɛ
alelomorfo	ɔ
alenquer	ɛ
alentejo	ɛ
alepo	ɛ
aleppo	ɛ
alerta	ɛ
alertas	ɛ
alfabeto	ɛ
alfisol	ɔ
alforja	ɔ
alfornelos	ɛ
alforreca	ɛ
algemam	ɛ
algemem	ɛ
algemo	ɛ
alghero	ɛ
algibeba	ɛ
algibebas	ɛ
aliena	ɛ
alieno	ɛ
aljustrel	ɛ
almoeda	ɛ
almoços	ɔ
aloanticorpo	ɔ
aloco	ɔ
alojo	ɔ
altera	ɛ
altosa	ɔ
altosas	ɔ
aluguer	ɛ
alvanel	ɛ
alverca	ɛ
alzheimer	ɛ
amarelo	ɛ
amaxofobia	x:ks
ambiciona	ɔ
ambiciono	ɔ
ambidestro	ɛ
ambisséxuo	x:ks
ambroxol	ɔ|x:ks
ameba	ɛ
amidol	ɔ
amidoxima	x:ks
aminociclitol	ɔ
aminoimidazol	ɔ
aminopropanol	ɔ
aminorex	ɛ
